COGNOME;COMUNE;descrizione_carica
ZANOTTO;JESOLO;Assessore
ROMANELLO;MARCON;Sindaco
MISSEROTTI;MARCON;Vicesindaco
FAVIN;MARCON;Assessore
MARCADALLI;MARCON;Assessore
MENEGHETTI;MARCON;Assessore
SALVATI;MARCON;Assessore
SACCAROLA;MARTELLAGO;Sindaco
FERRI;MARTELLAGO;Vicesindaco
BERNARDO;MARTELLAGO;Assessore
CORO';MARTELLAGO;Assessore
FAGGIAN;MARTELLAGO;Assessore
TOZZATO;MARTELLAGO;Assessore
PAVAN;MEOLO;Sindaco
BENEDETTI;MEOLO;Assessore
BENETTON;MEOLO;Assessore
PERUFFO;MEOLO;Assessore
VIO;MEOLO;Assessore
DORI;MIRA;Sindaco
BOLZONI;MIRA;Vicesindaco
GERARDI;MIRA;Assessore
LORENZIN;MIRA;Assessore
MARTIN;MIRA;Assessore
PESCE;MIRA;Assessore
POPPI;MIRA;Assessore
SALIERI;MIRA;Assessore
BAGGIO;MIRANO;Sindaco
BOLDRIN;MIRANO;Assessore
DI;MIRANO;Assessore
FIORIO;MIRANO;Assessore
SPOLAORE;MIRANO;Assessore
VENTURINI;MIRANO;Assessore
SUSANNA;MUSILE DI PIAVE;Sindaco
MASCHIETTO;MUSILE DI PIAVE;Vicesindaco
CARPENEDO;MUSILE DI PIAVE;Assessore
COPPO;MUSILE DI PIAVE;Assessore
PIVETTA;MUSILE DI PIAVE;Assessore
TAMAI;MUSILE DI PIAVE;Assessore
ANDREOTTI;NOALE;Sindaco
DE;NOALE;Assessore
DINI;NOALE;Assessore
MATTIELLO;NOALE;Assessore
SORINO;NOALE;Assessore
TOSATTO;NOALE;Assessore
MARIAN;NOVENTA DI PIAVE;Sindaco
BORIN;NOVENTA DI PIAVE;Assessore
BUFFOLO;NOVENTA DI PIAVE;Assessore
CONCETTI;NOVENTA DI PIAVE;Assessore
NARDESE;NOVENTA DI PIAVE;Assessore
CALZAVARA;PIANIGA;Sindaco
LEVORATO;PIANIGA;Vicesindaco
CALZAVARA;PIANIGA;Assessore
CAZZAGON;PIANIGA;Assessore
GUERRA;PIANIGA;Assessore
SORATO;PIANIGA;Assessore
FAVERO;PORTOGRUARO;Sindaco
FAGOTTO;PORTOGRUARO;Vicesindaco
BRAVO;PORTOGRUARO;Assessore
GERONAZZO;PORTOGRUARO;Assessore
GIUSEPPIN;PORTOGRUARO;Assessore
RAMBUSCHI;PORTOGRUARO;Assessore
PIVETTA;PRAMAGGIORE;Sindaco
BARBIERO;PRAMAGGIORE;Vicesindaco
LONGATO;PRAMAGGIORE;Assessore
MATTIUZZO;PRAMAGGIORE;Assessore
ZAMBON;PRAMAGGIORE;Assessore
GROSSO;QUARTO D'ALTINO;Sindaco
BORGA;QUARTO D'ALTINO;Assessore
GASPARINI;QUARTO D'ALTINO;Assessore
MAZZON;QUARTO D'ALTINO;Assessore
TONIOLO;QUARTO D'ALTINO;Assessore
BETTETO;SALZANO;Sindaco
BOTTACIN;SALZANO;Assessore
MUFFATO;SALZANO;Assessore
VECCHIATO;SALZANO;Assessore
CERESER;SAN DONA' DI PIAVE;Sindaco
LASFANTI;SAN DONA' DI PIAVE;Vicesindaco
CODOGNOTTO;SAN DONA' DI PIAVE;Assessore
MARIN;SAN DONA' DI PIAVE;Assessore
POLITA;SAN DONA' DI PIAVE;Assessore
SERAFIN;SAN DONA' DI PIAVE;Assessore
TERZARIOL;SAN DONA' DI PIAVE;Assessore
MAURUTTO;SAN MICHELE AL TAGLIAMENTO;Sindaco
BIASIN;SAN MICHELE AL TAGLIAMENTO;Assessore
COLUSSO;SAN MICHELE AL TAGLIAMENTO;Assessore
DRIUSSO;SAN MICHELE AL TAGLIAMENTO;Assessore
GROSSETO;SAN MICHELE AL TAGLIAMENTO;Assessore
ZUPPICHIN;SAN MICHELE AL TAGLIAMENTO;Assessore
ROCCHI;SANTA MARIA DI SALA;Sindaco
ARPI;SANTA MARIA DI SALA;Vicesindaco
BASSO;SANTA MARIA DI SALA;Assessore
MIELE;SANTA MARIA DI SALA;Assessore
SPOLLADORE;SANTA MARIA DI SALA;Assessore
CAPPELLETTO;SAN STINO DI LIVENZA;Sindaco
FANTON;SAN STINO DI LIVENZA;Assessore
PARPINEL;SAN STINO DI LIVENZA;Assessore
PELLIZZON;SAN STINO DI LIVENZA;Assessore
TEZZOT;SAN STINO DI LIVENZA;Assessore
MARCON;SCORZE';Sindaco
MICHIELAN;SCORZE';Vicesindaco
CECCATO;SCORZE';Assessore
LUISE;SCORZE';Assessore
PESCE;SCORZE';Assessore
SCANTAMBURLO;SCORZE';Assessore
VESNAVER;SPINEA;Sindaco
PIAZZI;SPINEA;Vicesindaco
BETTIN;SPINEA;Assessore
MARINI;SPINEA;Assessore
PEROZZO;SPINEA;Assessore
ZAMENGO;SPINEA;Assessore
CACCIAVILLANI;STRA;Sindaco
BORGATO;STRA;Assessore
FERRARESSO;STRA;Assessore
NARDELLI;STRA;Assessore
PIERAZZO;STRA;Assessore
CICUTO;TEGLIO VENETO;Sindaco
NICODEMO;TEGLIO VENETO;Vicesindaco
MAZZAROTTO;TORRE DI MOSTO;Sindaco
ROCCO;TORRE DI MOSTO;Vicesindaco
MAZZAROTTO;TORRE DI MOSTO;Assessore
BRUGNARO;VENEZIA;Sindaco
TOMAELLO;VENEZIA;Vicesindaco
BESIO;VENEZIA;Assessore
BORASO;VENEZIA;Assessore
COSTALONGA;VENEZIA;Assessore
DE;VENEZIA;Assessore
MAR;VENEZIA;Assessore
PESCE;VENEZIA;Assessore
VENTURINI;VENEZIA;Assessore
ZACCARIOTTO;VENEZIA;Assessore
ZUIN;VENEZIA;Assessore
MARTELLO;VIGONOVO;Sindaco
DANIELETTO;VIGONOVO;Assessore
DORIO;VIGONOVO;Assessore
NALIN;VIGONOVO;Assessore
SATTIN;VIGONOVO;Assessore
SEGA;AFFI;Sindaco
ORLANDI;AFFI;Assessore
PEROTTI;AFFI;Assessore
RUTA;ALBAREDO D'ADIGE;Sindaco
AMBROSI;ALBAREDO D'ADIGE;Assessore
DANESE;ALBAREDO D'ADIGE;Assessore
PASQUALOTTO;ALBAREDO D'ADIGE;Assessore
SARTORI;ALBAREDO D'ADIGE;Assessore
PULIAFITO;ANGIARI;Sindaco
BISSOLI;ANGIARI;Assessore
MELETTI;ANGIARI;Assessore
CERETTA;ARCOLE;Sindaco
BOSEGGIA;ARCOLE;Assessore
CARLI;ARCOLE;Assessore
GODI;ARCOLE;Assessore
NEGRO;ARCOLE;Assessore
VALDEGAMBERI;BADIA CALAVENA;Sindaco
ANDERLONI;BADIA CALAVENA;Assessore
TRUZZOLI;BADIA CALAVENA;Assessore
SABAINI;BARDOLINO;Sindaco
CURRO';BARDOLINO;Assessore
LONARDI;BARDOLINO;Assessore
LUCCHESE;BARDOLINO;Assessore
SALA;BARDOLINO;Assessore
ALBERTINI;BELFIORE;Sindaco
VANZANI;BELFIORE;Vicesindaco
ALBERTI;BELFIORE;Assessore
DANESE;BELFIORE;Assessore
ZOPPI;BELFIORE;Assessore
GIRLANDA;BEVILACQUA;Sindaco
ARZENTON;BEVILACQUA;Vicesindaco
GOTTARDO;BEVILACQUA;Assessore
GOBBI;BONAVIGO;Sindaco
SCHIO;BONAVIGO;Vicesindaco
CHIAVELLI;BONAVIGO;Assessore
OCCHIALI;BOSCHI SANT'ANNA;Sindaco
COLTRO;BOSCHI SANT'ANNA;Vicesindaco
CALEARO;BOSCHI SANT'ANNA;Assessore
MELOTTI;BOSCO CHIESANUOVA;Sindaco
ZANINI;BOSCO CHIESANUOVA;Vicesindaco
CORRADI;BOSCO CHIESANUOVA;Assessore
GARONZI;BOSCO CHIESANUOVA;Assessore
MAZO;BOSCO CHIESANUOVA;Assessore
POZZANI;BOVOLONE;Sindaco
FERRAZZANO;BOVOLONE;Vicesindaco
BRUNELLI;BOVOLONE;Assessore
DE;BOVOLONE;Assessore
TRARIVI;BOVOLONE;Assessore
TURRINI;BOVOLONE;Assessore
MAZZURANA;BRENTINO BELLUNO;Sindaco
SCHNIEREROVA;BRENTINO BELLUNO;Assessore
STELLA;BRENTINO BELLUNO;Assessore
BENEDETTI;BRENZONE SUL GARDA;Sindaco
BRIGHENTI;BRENZONE SUL GARDA;Vicesindaco
DONATINI;BRENZONE SUL GARDA;Assessore
BRIZZI;BUSSOLENGO;Sindaco
AMANTIA;BUSSOLENGO;Vicesindaco
FINETTO;BUSSOLENGO;Assessore
GIRELLI;BUSSOLENGO;Assessore
IAQUINTA;BUSSOLENGO;Assessore
PERUSI;BUSSOLENGO;Assessore
MORETTO;BUTTAPIETRA;Sindaco
ARGENTATI;BUTTAPIETRA;Assessore
BERTAGNOLI;BUTTAPIETRA;Assessore
COMPRI;BUTTAPIETRA;Assessore
ZONIN;BUTTAPIETRA;Assessore
LOVATO;CALDIERO;Sindaco
BONAMINI;CALDIERO;Assessore
FASOLI;CALDIERO;Assessore
FRANCHI;CALDIERO;Assessore
MARTINATO;CALDIERO;Assessore
ARDUINI;CAPRINO VERONESE;Sindaco
MAZZOLA;CAPRINO VERONESE;Vicesindaco
ARMANI;CAPRINO VERONESE;Assessore
BRUNELLI;CAPRINO VERONESE;Assessore
SALOMONI;CAPRINO VERONESE;Assessore
CAGALLI;CASALEONE;Sindaco
CONTARELLI;CASALEONE;Assessore
GALLO;CASALEONE;Assessore
GENNARI;CASALEONE;Assessore
PERAZZINI;CASALEONE;Assessore
FORMIGARO;CASTAGNARO;Sindaco
OTTOBONI;CASTAGNARO;Assessore
SORDO;CASTAGNARO;Assessore
TRIVELLATO;CASTAGNARO;Assessore
PANUCCIO;CASTEL D'AZZANO;Sindaco
BASALICO;CASTEL D'AZZANO;Vicesindaco
COMPER;CASTEL D'AZZANO;Assessore
GASPARINI;CASTEL D'AZZANO;Assessore
GUADAGNINI;CASTEL D'AZZANO;Assessore
LIUZZI;CASTEL D'AZZANO;Assessore
DAL;CASTELNUOVO DEL GARDA;Sindaco
ARDIELLI;CASTELNUOVO DEL GARDA;Assessore
BERTO;CASTELNUOVO DEL GARDA;Assessore
GUGOLE;CASTELNUOVO DEL GARDA;Assessore
RIGHETTI;CASTELNUOVO DEL GARDA;Assessore
ZAGLIO;CASTELNUOVO DEL GARDA;Assessore
TRAMONTE;CAVAION VERONESE;Sindaco
MANCINI;CAVAION VERONESE;Vicesindaco
INDELICATO;CAVAION VERONESE;Assessore
RIZZI;CAVAION VERONESE;Assessore
TONOLI;CAVAION VERONESE;Assessore
GUADIN;CAZZANO DI TRAMIGNA;Sindaco
GIORDANI;CAZZANO DI TRAMIGNA;Vicesindaco
PERFETTO;CAZZANO DI TRAMIGNA;Assessore
FRANZONI;CEREA;Sindaco
MORANDI;CEREA;Vicesindaco
BRENDAGLIA;CEREA;Assessore
FADINI;CEREA;Assessore
FANTON;CEREA;Assessore
LANZA;CEREA;Assessore
BERTASO;CERRO VERONESE;Sindaco
CASTAGNA;CERRO VERONESE;Assessore
LESO;CERRO VERONESE;Assessore
SCALZOTTO;COLOGNA VENETA;Sindaco
DAL;COLOGNA VENETA;Vicesindaco
AVELLA;COLOGNA VENETA;Assessore
GIACCHERELLO;COLOGNA VENETA;Assessore
VALBUSA;COLOGNA VENETA;Assessore
PIUBELLO;COLOGNOLA AI COLLI;Sindaco
BONAMINI;COLOGNOLA AI COLLI;Assessore
MARTELLETTO;COLOGNOLA AI COLLI;Assessore
NOGARA;COLOGNOLA AI COLLI;Assessore
PIUBELLO;COLOGNOLA AI COLLI;Assessore
ZULIANI;CONCAMARISE;Sindaco
CORTIANA;CONCAMARISE;Assessore
ZAUPA;CONCAMARISE;Assessore
PASSARINI;COSTERMANO SUL GARDA;Sindaco
SALVETTI;COSTERMANO SUL GARDA;Vicesindaco
BULLIO;COSTERMANO SUL GARDA;Assessore
MARTINI;COSTERMANO SUL GARDA;Assessore
SALA;COSTERMANO SUL GARDA;Assessore
ADAMOLI;DOLCE';Sindaco
ZANESI;DOLCE';Vicesindaco
MARTINI;ERBE';Sindaco
SILVESTRONI;ERBE';Vicesindaco
MAESTRELLI;ERBE';Assessore
CAMPEDELLI;ERBEZZO;Sindaco
LESO;ERBEZZO;Vicesindaco
MORANDINI;ERBEZZO;Assessore
ZIVELONGHI;FUMANE;Sindaco
BONAZZI;FUMANE;Assessore
DAL;FUMANE;Assessore
FACCIOTTI;FUMANE;Assessore
FRANCESCHETTI;FUMANE;Assessore
BENDINELLI;GARDA;Sindaco
ZENI;GARDA;Vicesindaco
ALLEVATO;GARDA;Assessore
RIZZI;GARDA;Assessore
NEGRINI;GAZZO VERONESE;Sindaco
BELLANI;GAZZO VERONESE;Assessore
LEARDINI;GAZZO VERONESE;Assessore
PASQUALINI;GAZZO VERONESE;Assessore
VECCHINI;GAZZO VERONESE;Assessore
ALBERTI;GREZZANA;Sindaco
BIRTELE;GREZZANA;Assessore
CONTI;GREZZANA;Assessore
FALZI;GREZZANA;Assessore
RUFFO;ILLASI;Sindaco
TAIOLI;ILLASI;Vicesindaco
BOSARO;ILLASI;Assessore
CASTAGNINI;ILLASI;Assessore
VENTURINI;ILLASI;Assessore
MIRANDOLA;ISOLA DELLA SCALA;Sindaco
GIORDANI;ISOLA DELLA SCALA;Vicesindaco
FERRO;ISOLA DELLA SCALA;Assessore
MIRANDOLA;ISOLA DELLA SCALA;Assessore
PERBELLINI;ISOLA DELLA SCALA;Assessore
POLETTINI;ISOLA DELLA SCALA;Assessore
CALO';ISOLA RIZZA;Sindaco
FILIPPI;ISOLA RIZZA;Vicesindaco
LUNARDI;ISOLA RIZZA;Assessore
MANARA;ISOLA RIZZA;Assessore
ZIVIANI;ISOLA RIZZA;Assessore
PADOVANI;LAVAGNO;Sindaco
CROCE;LAVAGNO;Vicesindaco
BISSOLI;LAVAGNO;Assessore
PRIOLI;LAVAGNO;Assessore
ZENARI;LAVAGNO;Assessore
SEBASTIANO;LAZISE;Sindaco
BUIO;LAZISE;Assessore
COSTA;LAZISE;Assessore
ZANETTI;LAZISE;Assessore
ZIVIELLO;LAZISE;Assessore
LORENZETTI;LEGNAGO;Sindaco
DANIELI;LEGNAGO;Vicesindaco
BERTOLASO;LEGNAGO;Assessore
DE;LEGNAGO;Assessore
FALAMISCHIA;LEGNAGO;Assessore
LOMBARDI;MALCESINE;Sindaco
CONCINI;MALCESINE;Vicesindaco
FURIONI;MALCESINE;Assessore
PALLUA;MALCESINE;Assessore
RENALDINI;MALCESINE;Assessore
ZARDINI;MARANO DI VALPOLICELLA;Sindaco
ALDRIGHETTI;MARANO DI VALPOLICELLA;Vicesindaco
BALLARINI;MARANO DI VALPOLICELLA;Assessore
BONETTO;MARANO DI VALPOLICELLA;Assessore
FILIPPINI;MARANO DI VALPOLICELLA;Assessore
CARRARINI;MEZZANE DI SOTTO;Sindaco
SELLA;MEZZANE DI SOTTO;Vicesindaco
BERTON;MEZZANE DI SOTTO;Assessore
GIRARDI;MINERBE;Sindaco
MOMI;MINERBE;Vicesindaco
CHINAGLIA;MINERBE;Assessore
RIZZO;MINERBE;Assessore
ROSSETTO;MINERBE;Assessore
DAL;MONTECCHIA DI CROSARA;Sindaco
OLIVIERI;MONTECCHIA DI CROSARA;Vicesindaco
DAL;MONTECCHIA DI CROSARA;Assessore
TESSARI;MONTECCHIA DI CROSARA;Assessore
COSTA;MONTEFORTE D'ALPONE;Sindaco
SALVARO;MONTEFORTE D'ALPONE;Assessore
SARTORI;MONTEFORTE D'ALPONE;Assessore
SPERI;MONTEFORTE D'ALPONE;Assessore
TREGNAGHI;MONTEFORTE D'ALPONE;Assessore
MARTELLI;MOZZECANE;Sindaco
BOVO;MOZZECANE;Vicesindaco
BINDELLA;MOZZECANE;Assessore
FORTUNA;MOZZECANE;Assessore
GIUSTI;MOZZECANE;Assessore
GRISON;NEGRAR DI VALPOLICELLA;Sindaco
QUINTARELLI;NEGRAR DI VALPOLICELLA;Vicesindaco
COELI;NEGRAR DI VALPOLICELLA;Assessore
MOMI;NEGRAR DI VALPOLICELLA;Assessore
RIGHETTI;NEGRAR DI VALPOLICELLA;Assessore
ROSSIGNOLI;NEGRAR DI VALPOLICELLA;Assessore
PASINI;NOGARA;Sindaco
ANDREOLI;NOGARA;Assessore
FALAVIGNA;NOGARA;Assessore
FORIGO;NOGARA;Assessore
POLTRONIERI;NOGARA;Assessore
TRENTINI;NOGAROLE ROCCA;Sindaco
MAZZUCATO;NOGAROLE ROCCA;Vicesindaco
BRISIGHELLA;NOGAROLE ROCCA;Assessore
MARTINI;NOGAROLE ROCCA;Assessore
SANDRINI;NOGAROLE ROCCA;Assessore
GIARETTA;OPPEANO;Sindaco
CORSINI;OPPEANO;Assessore
FAUSTINI;OPPEANO;Assessore
FARINA;PALU';Sindaco
OLIVIERI;PALU';Vicesindaco
VENTURINI;PALU';Assessore
ZANONI;PASTRENGO;Sindaco
BATTISTONI;PASTRENGO;Assessore
SCOLARI;PASTRENGO;Assessore
QUARELLA;PESCANTINA;Sindaco
MENON;PESCANTINA;Assessore
PEDROTTI;PESCANTINA;Assessore
PIAZZOLA;PESCANTINA;Assessore
REBONATO;PESCANTINA;Assessore
SORIO;PESCANTINA;Assessore
GAIULLI;PESCHIERA DEL GARDA;Sindaco
AMICABILE;PESCHIERA DEL GARDA;Assessore
CIMINELLI;PESCHIERA DEL GARDA;Assessore
FLORIO;PESCHIERA DEL GARDA;Assessore
GAVAZZONI;PESCHIERA DEL GARDA;Assessore
TEDESCHI;POVEGLIANO VERONESE;Sindaco
FACINCANI;POVEGLIANO VERONESE;Vicesindaco
PEZZON;POVEGLIANO VERONESE;Assessore
POLETTI;POVEGLIANO VERONESE;Assessore
VAIENTE;POVEGLIANO VERONESE;Assessore
GREGHI;PRESSANA;Sindaco
DAL;PRESSANA;Assessore
MARZOTTO;PRESSANA;Assessore
ZOCCA;RIVOLI VERONESE;Sindaco
ARDUINI;RIVOLI VERONESE;Assessore
PACHERA;RIVOLI VERONESE;Assessore
RUGGERONI;RONCA';Sindaco
BRUNELLO;RONCA';Assessore
TIRAPELLE;RONCA';Assessore
TURRI;RONCA';Assessore
VILLARDI;RONCA';Assessore
VESENTINI;RONCO ALL'ADIGE;Sindaco
LEONARDI;RONCO ALL'ADIGE;Assessore
MANARA;RONCO ALL'ADIGE;Assessore
TAIETTA;RONCO ALL'ADIGE;Assessore
ISOLANI;ROVERCHIARA;Sindaco
FREDDO;ROVERCHIARA;Vicesindaco
GUERRA;ROVERCHIARA;Assessore
PASTORELLO;ROVEREDO DI GUA';Sindaco
CIOETTO;ROVEREDO DI GUA';Vicesindaco
DAL;ROVEREDO DI GUA';Assessore
MARCOLINI;ROVERE' VERONESE;Sindaco
FIORENTINI;ROVERE' VERONESE;Vicesindaco
PAZZOCCO;ROVERE' VERONESE;Assessore
CAMPI;SALIZZOLE;Sindaco
MANTOVANELLI;SALIZZOLE;Vicesindaco
DISSADERI;SALIZZOLE;Assessore
LUCCHINI;SALIZZOLE;Assessore
MORELATO;SALIZZOLE;Assessore
PROVOLI;SAN BONIFACIO;Sindaco
DE;SAN BONIFACIO;Assessore
PIMAZZONI;SAN BONIFACIO;Assessore
STERCHELE;SAN BONIFACIO;Assessore
VERONA;SAN BONIFACIO;Assessore
ZORZANELLO;SAN BONIFACIO;Assessore
MARCAZZAN;SAN GIOVANNI ILARIONE;Sindaco
BURATO;SAN GIOVANNI ILARIONE;Assessore
LOVATO;SAN GIOVANNI ILARIONE;Assessore
ROSSETTO;SAN GIOVANNI ILARIONE;Assessore
ZANDONA';SAN GIOVANNI ILARIONE;Assessore
GASTALDELLO;SAN GIOVANNI LUPATOTO;Sindaco
STOPPATO;SAN GIOVANNI LUPATOTO;Vicesindaco
FILIPPI;SAN GIOVANNI LUPATOTO;Assessore
LERIN;SAN GIOVANNI LUPATOTO;Assessore
MERONI;SAN GIOVANNI LUPATOTO;Assessore
SIMONATO;SAN GIOVANNI LUPATOTO;Assessore
FRACCAROLI;SANGUINETTO;Sindaco
BALDI;SANGUINETTO;Assessore
COMUNIAN;SANGUINETTO;Assessore
PASSILONGO;SANGUINETTO;Assessore
ROSSINI;SANGUINETTO;Assessore
FURLANI;SAN MARTINO BUON ALBERGO;Sindaco
ALDEGHERI;SAN MARTINO BUON ALBERGO;Assessore
BESANA;SAN MARTINO BUON ALBERGO;Assessore
CASTAGNA;SAN MARTINO BUON ALBERGO;Assessore
GASPARI;SAN MARTINO BUON ALBERGO;Assessore
ZUSI;SAN MARTINO BUON ALBERGO;Assessore
BONOMI;SAN MAURO DI SALINE;Sindaco
ALBERTI;SAN MAURO DI SALINE;Assessore
VINCENZI;SAN PIETRO DI MORUBIO;Sindaco
BISSOLI;SAN PIETRO DI MORUBIO;Vicesindaco
BISSOLI;SAN PIETRO DI MORUBIO;Assessore
BONFANTE;SAN PIETRO DI MORUBIO;Assessore
MALASPINA;SAN PIETRO DI MORUBIO;Assessore
ZANTEDESCHI;SAN PIETRO IN CARIANO;Sindaco
BONIOLI;SAN PIETRO IN CARIANO;Vicesindaco
GALVANINI;SAN PIETRO IN CARIANO;Assessore
TOMMASI;SAN PIETRO IN CARIANO;Assessore
ZARDINI;SAN PIETRO IN CARIANO;Assessore
ZORZI;SAN PIETRO IN CARIANO;Assessore
ZORZI;SANT'AMBROGIO DI VALPOLICELLA;Sindaco
ZANOTTI;SANT'AMBROGIO DI VALPOLICELLA;Vicesindaco
CHIEREGHINI;SANT'AMBROGIO DI VALPOLICELLA;Assessore
DESTRI;SANT'AMBROGIO DI VALPOLICELLA;Assessore
PROCURA;SANT'AMBROGIO DI VALPOLICELLA;Assessore
RIOLFI;SANT'AMBROGIO DI VALPOLICELLA;Assessore
CAMPOSTRINI;SANT'ANNA D'ALFAEDO;Sindaco
BENEDETTI;SANT'ANNA D'ALFAEDO;Assessore
TOMMASI;SANT'ANNA D'ALFAEDO;Assessore
CASTELLANI;SAN ZENO DI MONTAGNA;Sindaco
PERETTI;SAN ZENO DI MONTAGNA;Assessore
SCHENA;SAN ZENO DI MONTAGNA;Assessore
CAPPELLETTI;SELVA DI PROGNO;Sindaco
VALCASARA;SELVA DI PROGNO;Vicesindaco
BORDON;SELVA DI PROGNO;Assessore
PRESSI;SOAVE;Sindaco
ADAMI;SOAVE;Assessore
ALDEGHERI;SOAVE;Assessore
MINCHIO;SOAVE;Assessore
MONTANARI;SOAVE;Assessore
BERTOLASO;SOMMACAMPAGNA;Sindaco
ALLEGRI;SOMMACAMPAGNA;Vicesindaco
MONTRESOR;SOMMACAMPAGNA;Assessore
PIGHI;SOMMACAMPAGNA;Assessore
PRINCIPE;SOMMACAMPAGNA;Assessore
TRIVELLATI;SOMMACAMPAGNA;Assessore
MAZZI;SONA;Sindaco
CIMICHELLA;SONA;Vicesindaco
BIANCO;SONA;Assessore
CATALANO;SONA;Assessore
DALLA;SONA;Assessore
MERZI;SONA;Assessore
NUVOLARI;SORGA';Sindaco
MIRANDOLA;SORGA';Assessore
SGRENZAROLI;SORGA';Assessore
ZAMBONI;TERRAZZO;Sindaco
VISENTIN;TERRAZZO;Assessore
NICOTRA;TORRI DEL BENACO;Sindaco
SALAORNI;TORRI DEL BENACO;Vicesindaco
ANDREOLI;TORRI DEL BENACO;Assessore
SANTELLANI;TREGNAGO;Sindaco
DAL;TREGNAGO;Assessore
FRANCHETTO;TREGNAGO;Assessore
GRANDIS;TREGNAGO;Assessore
VICENTINI;TREGNAGO;Assessore
TORSI;TREVENZUOLO;Sindaco
CAZZOLA;TREVENZUOLO;Assessore
CESTARO;TREVENZUOLO;Assessore
GARDONI;VALEGGIO SUL MINCIO;Sindaco
DAL;VALEGGIO SUL MINCIO;Vicesindaco
BENINI;VALEGGIO SUL MINCIO;Assessore
BIGAGNOLI;VALEGGIO SUL MINCIO;Assessore
PAON;VALEGGIO SUL MINCIO;Assessore
REMELLI;VALEGGIO SUL MINCIO;Assessore
VARALTA;VELO VERONESE;Sindaco
DALLA;VELO VERONESE;Assessore
GAOLE;VELO VERONESE;Assessore
TOMMASI;VERONA;Sindaco
BISSOLI;VERONA;Vicesindaco
BENINI;VERONA;Assessore
BERTUCCO;VERONA;Assessore
BUFFOLO;VERONA;Assessore
CENI;VERONA;Assessore
FERRARI;VERONA;Assessore
LA;VERONA;Assessore
SANDRINI;VERONA;Assessore
UGOLINI;VERONA;Assessore
ZIVELONGHI;VERONA;Assessore
ROSSI;VERONELLA;Sindaco
CAVALLON;VERONELLA;Assessore
GINI;VERONELLA;Assessore
NISCO;VERONELLA;Assessore
PRESA;VESTENANOVA;Sindaco
RONCARI;VESTENANOVA;Assessore
TOMIOZZO;VESTENANOVA;Assessore
TOSI;VIGASIO;Sindaco
CAMPEDELLI;VIGASIO;Assessore
MERLINI;VIGASIO;Assessore
MOSELE;VIGASIO;Assessore
ZAFFANI;VIGASIO;Assessore
TUZZA;VILLA BARTOLOMEA;Sindaco
BORIN;VILLA BARTOLOMEA;Assessore
LOVATO;VILLA BARTOLOMEA;Assessore
PASQUIN;VILLA BARTOLOMEA;Assessore
RIGO;VILLA BARTOLOMEA;Assessore
DALL'OCA;VILLAFRANCA DI VERONA;Sindaco
ARDUINI;VILLAFRANCA DI VERONA;Assessore
BARBERA;VILLAFRANCA DI VERONA;Assessore
CORDIOLI;VILLAFRANCA DI VERONA;Assessore
MARAIA;VILLAFRANCA DI VERONA;Assessore
TERILLI;VILLAFRANCA DI VERONA;Assessore
TIBERIO;VILLAFRANCA DI VERONA;Assessore
ZAMPERINI;VILLAFRANCA DI VERONA;Assessore
CONTI;ZEVIO;Sindaco
BOTTACINI;ZEVIO;Vicesindaco
ANDREOLI;ZEVIO;Assessore
FRACCARO;ZEVIO;Assessore
STRAMBINI;ZEVIO;Assessore
TODESCHINI;ZEVIO;Assessore
BIASIN;ZIMELLA;Sindaco
PIUBELLO;ZIMELLA;Vicesindaco
BRUNELLO;ZIMELLA;Assessore
GIUSTI;ZIMELLA;Assessore
MANEGA;ZIMELLA;Assessore
BORGHETTINI;AGUGLIARO;Sindaco
MANDRUZZATO;AGUGLIARO;Vicesindaco
BRUGIN;AGUGLIARO;Assessore
RIGATO;ALBETTONE;Sindaco
TRISSINO;ALBETTONE;Vicesindaco
BERTOLA;ALBETTONE;Assessore
TASSONI;ALONTE;Sindaco
VIANELLO;ALONTE;Vicesindaco
MARTINI;ALONTE;Assessore
DALLA;ALTAVILLA VICENTINA;Sindaco
BURO';ALTAVILLA VICENTINA;Assessore
CATAGINI;ALTAVILLA VICENTINA;Assessore
GRIGNOLO;ALTAVILLA VICENTINA;Assessore
PELLIZZARI;ALTAVILLA VICENTINA;Assessore
SCAPIN;ALTAVILLA VICENTINA;Assessore
TREVISAN;ALTISSIMO;Sindaco
FARINON;ALTISSIMO;Vicesindaco
PONZA;ALTISSIMO;Assessore
PELLIZZARI;ARCUGNANO;Sindaco
BEDIN;ARCUGNANO;Vicesindaco
DAL;ARCUGNANO;Assessore
ZANELLA;ARCUGNANO;Assessore
ZANOTTO;ARCUGNANO;Assessore
MENEGHINI;ARSIERO;Sindaco
MATTIELLI;ARSIERO;Vicesindaco
LUCCA;ARSIERO;Assessore
MARTINI;ARSIERO;Assessore
NASSI;ARSIERO;Assessore
BEVILACQUA;ARZIGNANO;Sindaco
MARCIGAGLIA;ARZIGNANO;Vicesindaco
DAL;ARZIGNANO;Assessore
FRACASSO;ARZIGNANO;Assessore
LOVATO;ARZIGNANO;Assessore
MASIERO;ARZIGNANO;Assessore
RIGONI;ASIAGO;Sindaco
SELLA;ASIAGO;Vicesindaco
GIOS;ASIAGO;Assessore
LOBBIA;ASIAGO;Assessore
CECCATO;ASIGLIANO VENETO;Sindaco
GIANESINI;ASIGLIANO VENETO;Assessore
GUGLIELMO;ASIGLIANO VENETO;Assessore
